Model,MAE,RMSE,sMAPE
Prophet Additive,98.35812955750713,150.46909176906706,21.93493835075493
ETS,98.423448429148,150.4128069771925,21.95346325612051
Theta,98.7208832136224,150.03847343353254,22.021881065365186
SARIMA,98.96450125037929,149.997704171094,22.086330619778845
Random Forest,106.33151851851852,152.84440894033705,23.681669067796637
XGBoost,111.52606913248698,157.44557306574214,24.78460294467064
ARIMA,116.41399321987812,162.19684040447078,25.9852665027976
Linear Regression,129.55761012281715,182.364051655274,31.013209986014367
NaiveSeasonal,180.7333333333333,233.084867710359,51.95003230106944
